language,variant,size,block_size,event,avg_value,unit,avg_time_enabled_ns,avg_time_enabled_seconds,avg_percent_running
cpp,line,3072,0,cpu_atom/instructions/,34470191919.000000,,184275.000000,0.000184,0.000000
cpp,line,3072,0,cpu_core/cache-misses/,2365553013.333333,,13970922657.000000,13.970923,99.333333
cpp,line,3072,0,cpu_core/cache-references/,3676148944.666667,,13970922657.000000,13.970923,99.333333
cpp,line,3072,0,cpu_core/cycles/,69175075643.333328,,13970922657.000000,13.970923,99.333333
cpp,line,3072,0,cpu_core/instructions/,232557718297.333344,,13970922657.000000,13.970923,99.333333
cpp,line,4096,0,cpu_atom/cache-misses/,356770599.000000,,372310.000000,0.000372,0.000000
cpp,line,4096,0,cpu_atom/cache-references/,1319162799.000000,,372310.000000,0.000372,0.000000
cpp,line,4096,0,cpu_atom/cycles/,123796533763.000000,,372310.000000,0.000372,0.000000
cpp,line,4096,0,cpu_atom/instructions/,128604880184.000000,,372310.000000,0.000372,0.000000
cpp,line,4096,0,cpu_core/cache-misses/,7561909900.333333,,33743148854.000000,33.743149,99.333333
cpp,line,4096,0,cpu_core/cache-references/,8679453279.666666,,33743148854.000000,33.743149,99.333333
cpp,line,4096,0,cpu_core/cycles/,167880547547.666656,,33743148854.000000,33.743149,99.333333
cpp,line,4096,0,cpu_core/instructions/,550943200643.333374,,33743148854.000000,33.743149,99.333333
cpp,line,6144,0,cpu_atom/cache-misses/,1004781780.500000,,360529.500000,0.000361,0.000000
cpp,line,6144,0,cpu_atom/cache-references/,4681150740.500000,,360529.500000,0.000361,0.000000
cpp,line,6144,0,cpu_atom/cycles/,418275381326.000000,,360529.500000,0.000361,0.000000
cpp,line,6144,0,cpu_atom/instructions/,445627158313.500000,,360529.500000,0.000361,0.000000
cpp,line,6144,0,cpu_core/cache-misses/,27908873577.666668,,114984765864.666672,114.984766,99.333333
cpp,line,6144,0,cpu_core/cache-references/,29283899368.000000,,114984765864.666672,114.984766,99.333333
cpp,line,6144,0,cpu_core/cycles/,572576482716.000000,,114984765864.666672,114.984766,99.333333
cpp,line,6144,0,cpu_core/instructions/,1858449961756.333252,,114984765864.666672,114.984766,99.333333
cpp,line,8192,0,cpu_atom/cache-misses/,2330023203.333333,,376253.000000,0.000376,0.000000
cpp,line,8192,0,cpu_atom/cache-references/,13162126327.666666,,376253.000000,0.000376,0.000000
cpp,line,8192,0,cpu_atom/cycles/,997348860180.000000,,376253.000000,0.000376,0.000000
cpp,line,8192,0,cpu_atom/instructions/,1019315658053.000000,,376253.000000,0.000376,0.000000
cpp,line,8192,0,cpu_core/cache-misses/,67364489931.000000,,273645557987.666656,273.645558,99.000000
cpp,line,8192,0,cpu_core/cache-references/,69360341337.000000,,273645557987.666656,273.645558,99.000000
cpp,line,8192,0,cpu_core/cycles/,1363650586818.000000,,273645557987.666656,273.645558,99.000000
cpp,line,8192,0,cpu_core/instructions/,4404141274460.666992,,273645557987.666656,273.645558,99.000000
cpp,line,10240,0,cpu_atom/cache-misses/,5647947039.000000,,351796.500000,0.000352,0.000000
cpp,line,10240,0,cpu_atom/cache-references/,20516751600.000000,,351796.500000,0.000352,0.000000
cpp,line,10240,0,cpu_atom/cycles/,1944598250062.500000,,351796.500000,0.000352,0.000000
cpp,line,10240,0,cpu_atom/instructions/,2079905179073.000000,,351796.500000,0.000352,0.000000
cpp,line,10240,0,cpu_core/cache-misses/,131662720710.333328,,533077782118.000000,533.077782,99.333333
cpp,line,10240,0,cpu_core/cache-references/,135495639516.666672,,533077782118.000000,533.077782,99.333333
cpp,line,10240,0,cpu_core/cycles/,2656450894410.333496,,533077782118.000000,533.077782,99.333333
cpp,line,10240,0,cpu_core/instructions/,8600286963781.333008,,533077782118.000000,533.077782,99.333333
cpp,standard,1024,0,cpu_atom/cache-misses/,26683431.000000,,355850.000000,0.000356,0.000000
cpp,standard,1024,0,cpu_atom/cache-references/,74515439.500000,,355850.000000,0.000356,0.000000
cpp,standard,1024,0,cpu_atom/cycles/,9990445616.000000,,355850.000000,0.000356,0.000000
cpp,standard,1024,0,cpu_atom/instructions/,10811034344.000000,,355850.000000,0.000356,0.000000
cpp,standard,1024,0,cpu_core/cache-misses/,1983194.333333,,2750457882.333333,2.750458,99.333333
cpp,standard,1024,0,cpu_core/cache-references/,1728211149.333333,,2750457882.333333,2.750458,99.333333
cpp,standard,1024,0,cpu_core/cycles/,13615176611.000000,,2750457882.333333,2.750458,99.333333
cpp,standard,1024,0,cpu_core/instructions/,7604618228.666667,,2750457882.333333,2.750458,99.333333
cpp,standard,1536,0,cpu_atom/cache-misses/,122168834.000000,,395448.000000,0.000395,0.000000
cpp,standard,1536,0,cpu_atom/cache-references/,319695253.000000,,395448.000000,0.000395,0.000000
cpp,standard,1536,0,cpu_atom/cycles/,34109576484.000000,,395448.000000,0.000395,0.000000
cpp,standard,1536,0,cpu_atom/instructions/,32852708632.000000,,395448.000000,0.000395,0.000000
cpp,standard,1536,0,cpu_core/cache-misses/,77116172.000000,,9425010372.333334,9.425010,99.666667
cpp,standard,1536,0,cpu_core/cache-references/,4714458577.000000,,9425010372.333334,9.425010,99.666667
cpp,standard,1536,0,cpu_core/cycles/,46543785462.333336,,9425010372.333334,9.425010,99.666667
cpp,standard,1536,0,cpu_core/instructions/,25592061637.666668,,9425010372.333334,9.425010,99.666667
cpp,standard,2048,0,cpu_atom/cache-misses/,266832191.333333,,361873.000000,0.000362,0.000000
cpp,standard,2048,0,cpu_atom/cache-references/,980296688.333333,,361873.000000,0.000362,0.000000
cpp,standard,2048,0,cpu_atom/cycles/,92772753728.666672,,361873.000000,0.000362,0.000000
cpp,standard,2048,0,cpu_atom/instructions/,98272498334.000000,,361873.000000,0.000362,0.000000
cpp,standard,2048,0,cpu_core/cache-misses/,783307405.333333,,25505778994.333332,25.505779,99.000000
cpp,standard,2048,0,cpu_core/cache-references/,10384892680.666666,,25505778994.333332,25.505779,99.000000
cpp,standard,2048,0,cpu_core/cycles/,126848925585.000000,,25505778994.333332,25.505779,99.000000
cpp,standard,2048,0,cpu_core/instructions/,60594077548.666664,,25505778994.333332,25.505779,99.000000
cpp,standard,2560,0,cpu_atom/cache-misses/,988617774.000000,,224556.000000,0.000225,0.000000
cpp,standard,2560,0,cpu_atom/cache-references/,3202658374.000000,,224556.000000,0.000225,0.000000
cpp,standard,2560,0,cpu_atom/cycles/,217606872218.000000,,224556.000000,0.000225,0.000000
cpp,standard,2560,0,cpu_atom/instructions/,177625041302.500000,,224556.000000,0.000225,0.000000
cpp,standard,2560,0,cpu_core/cache-misses/,3620588952.333333,,61094020699.666664,61.094021,99.333333
cpp,standard,2560,0,cpu_core/cache-references/,28879745364.000000,,61094020699.666664,61.094021,99.333333
cpp,standard,2560,0,cpu_core/cycles/,302456407679.333313,,61094020699.666664,61.094021,99.333333
cpp,standard,2560,0,cpu_core/instructions/,118411672042.666672,,61094020699.666664,61.094021,99.333333
cpp,standard,3072,0,cpu_atom/cache-misses/,1412264694.333333,,297397.666667,0.000297,0.000000
cpp,standard,3072,0,cpu_atom/cache-references/,4853555084.000000,,297397.666667,0.000297,0.000000
cpp,standard,3072,0,cpu_atom/cycles/,474110064833.000000,,297397.666667,0.000297,0.000000
cpp,standard,3072,0,cpu_atom/instructions/,522347105894.000000,,297397.666667,0.000297,0.000000
cpp,standard,3072,0,cpu_core/cache-misses/,9358006330.333334,,130813503065.666672,130.813503,99.000000
cpp,standard,3072,0,cpu_core/cache-references/,48943760761.000000,,130813503065.666672,130.813503,99.000000
cpp,standard,3072,0,cpu_core/cycles/,652168893550.000000,,130813503065.666672,130.813503,99.000000
cpp,standard,3072,0,cpu_core/instructions/,204643219986.666656,,130813503065.666672,130.813503,99.000000
